FEAT_NAME,WEIGHT
belly,-0.001242935322408486
belong,0.01142819045464485
belonged,0.010958235263659008
belt,0.011912997248001208
ben,-0.00247741966856979
bench,0.004275961943904903
bend,-0.006723143415219027
beneath,0.01960610390614266
bent,-0.01636064783162697
bernard,-0.01051934352187333
best,0.012316284778986915
bet,-0.009187673741871837
beth,0.001854474138245794
better,0.019374234630432502
betty,-0.004822418391692215
big,-0.020332575994662268
bigger,-0.01450897744326137
bills,0.014275047591437069
billy,-0.0006207884652287354
bird,-0.0021023360018412223
birds,0.0103826753558886
birth,-0.001411213033614645
bishop,-0.012625777070936829
bit,0.007250897031088919
bitch,0.0072887916384716395
bite,-0.009740634914642367
bits,0.010556259445748608
bitter,0.015631632052798817
bitterly,0.010855138404378668
black,-0.0010635283952016717
blade,0.004357796810874254
