,BOOK_ID,FILENAME,LIBRARIES,TITLE,AUTH_LAST,AUTH_FIRST,AUTH_ID,WRITTEN_AS,PUBL_CITY,PUBLISHER,PUBL_DATE,SOURCE,NATIONALITY,GENRE,CLEAN?,SUBSET
569,2956,00002956.txt,385,The shepherd of the hills,Wright,Harold Bell,A_03720,,New York,Grosset & Dunlap,1907,g,American,,,CTRL
570,2963,00002963.txt,104,The genial idiot,Bangs,John Kendrick,A_00148,,New York/London,Harper & Bros.,1908,g,American,,,CTRL
572,2969,00002969.txt,66,The cheerful smugglers,Butler,Ellis Parker,A_00500,,New York,Century Co.,1908,g,American,,,NOVL
574,2971,00002971.txt,108,The firing line,Chambers,Robert W.,A_00604,,New York,D. Appleton & Co.,1908,g,American,,,NOVL
578,2980,00002980.txt,31,King Spruce,Day,Holman,A_00884,,New York,A.L. Burt,1908,g,American,,,SENT
579,2986,00002986.txt,37,Side-stepping with Shorty,Ford,Sewell,A_01220,,New York,Mitchell Kennerley,1908,g,American,,,PARG
580,2987,00002987.txt,258,The trail of the lonesome pine,Fox,John,A_01235,,New York,Grosset & Dunlap,1908,g,American,,,NOVL
586,3001,00003001.txt,237,Together,Herrick,Robert,A_01637,,New York,Macmillan Co.,1908,g,American,,,PARG
587,3002,00003002.txt,44,The girl from Montana,Hill,Grace Livingston,A_01654,,New York,Grosset & Dunlap,1908,g,American,,,SENT
590,3011,00003011.txt,470,Lewis Rand,Johnston,Mary,A_01828,,Boston/New York,Houghton Mifflin Co.,1908,g,American,,,PARG
591,3014,00003014.txt,43,To the front,King,Charles,A_01908,,New York/London,Harper & Bros.,1908,g,American,,,NOVL
596,3028,00003028.txt,93,The husbands of Edith,McCutcheon,George Barr,A_02321,,New York,"""Dodd, Mead & Co.""",1908,g,American,,,CTRL
598,3039,00003039.txt,27,The mascot of Sweet Briar Gulch,Phillips,Henry Wallace,A_02732,,Indianapolis,Bobbs-Merrill Co.,1908,g,American,,,PARG
600,3042,00003042.txt,61,The wooing of Calvin Parks,Richards,Laura Elizabeth Howe,A_02895,,Boston,Dana Estes & Co.,1908,g,American,,,SENT
603,3054,00003054.txt,267,The guest of Quesnay,Tarkington,Booth,A_03336,,New York,McClure Co.,1908,g,American,,c,SENT
604,3055,00003055.txt,62,The black bag,Vance,Louis Joseph,A_03463,,Indianapolis,Bobbs-Merrill Co.,1908,g,American,,,CTRL
607,3067,00003067.txt,70,The silver horde,Beach,Rex,A_00208,,New York,A.L. Burt Co.,1909,g,American,,,PARG
612,3081,00003081.txt,80,Mike Flannery on duty and off,Butler,Ellis Parker,A_00500,,New York,"""Doubleday, Page & Co.""",1909,g,American,,,NOVL
613,3082,00003082.txt,171,Chivalry,Cabell,James Branch,A_00511,,New York/London,Harper & Bros.,1909,g,American,,,SENT
614,3083,00003083.txt,74,The cords of vanity,Cabell,James Branch,A_00511,,New York,"""Doubleday, Page & Co.""",1909,g,American,,,PARG
615,3085,00003085.txt,80,The danger mark,Chambers,Robert W.,A_00604,,New York/London,D. Appleton & Co.,1909,g,American,FANT,c,CTRL
