BOOK_ID,PUBL_DATE,SUBSET,P(INIT)_INIT,P(INIT)_FINAL
20156,1954,SENT,0,1
20158,1954,NOVL,0,1
20161,1954,PARG,0,1
20175,1955,PARG,0,1
20180,1955,NOVL,0,0
20186,1955,NOVL,0,0
20188,1955,NOVL,1,1
20194,1955,PARG,0,1
20195,1955,SENT,0,1
20198,1955,SENT,0,1
20199,1955,PARG,0,1
20203,1955,NOVL,0,0
20205,1955,SENT,0,1
20208,1955,SENT,0,1
20209,1955,PARG,0,1
20214,1956,NOVL,0,1
20219,1956,NOVL,0,1
20220,1956,PARG,0,1
20229,1956,NOVL,1,1
20231,1956,SENT,1,1
20242,1956,SENT,0,1
20243,1956,PARG,0,1
20247,1956,SENT,0,1
20252,1956,NOVL,0,0
20255,1956,PARG,0,0
20256,1956,SENT,0,1
20264,1957,SENT,0,1
20265,1957,NOVL,1,1
20268,1957,SENT,0,1
20273,1957,NOVL,0,1
20279,1957,PARG,0,1
20282,1957,PARG,0,1
20283,1957,PARG,0,1
20288,1957,SENT,0,1
20291,1957,NOVL,0,1
20292,1957,SENT,0,1
20298,1957,NOVL,1,1
20301,1957,PARG,0,1
20306,1958,SENT,1,1
20312,1958,PARG,0,1
20314,1958,SENT,0,1
20315,1958,PARG,0,1
20318,1958,SENT,0,1
20323,1958,NOVL,1,0
20325,1958,NOVL,1,0
20331,1958,SENT,0,1
20338,1958,NOVL,0,1
20339,1958,PARG,0,1
20344,1958,PARG,0,1
20349,1958,NOVL,0,1
20366,1959,SENT,0,1
20368,1959,SENT,0,1
20370,1959,SENT,0,1
20374,1959,SENT,0,1
20376,1959,NOVL,1,1
20385,1959,NOVL,0,0
20386,1959,PARG,0,1
20387,1959,PARG,0,1
20390,1959,PARG,1,1
20392,1959,NOVL,0,1
20394,1959,NOVL,1,1
20397,1960,PARG,0,1
20409,1960,NOVL,1,1
20413,1960,SENT,0,1
20414,1960,SENT,0,1
20419,1960,PARG,0,1
20425,1960,PARG,0,1
20426,1960,PARG,0,1
20428,1960,NOVL,0,0
20431,1960,SENT,0,1
20432,1960,NOVL,1,1
20434,1960,SENT,0,1
20438,1961,PARG,1,1
20443,1961,PARG,0,1
20444,1961,PARG,0,1
20448,1961,SENT,0,1
20457,1961,NOVL,0,1
20458,1961,SENT,0,1
20459,1961,SENT,0,1
20461,1961,NOVL,1,1
20475,1961,NOVL,1,1
20476,1961,SENT,0,1
20477,1961,PARG,0,1
20480,1962,SENT,0,1
20495,1962,PARG,0,1
20499,1962,NOVL,1,1
20503,1962,PARG,0,1
20506,1962,SENT,0,1
20507,1962,SENT,0,1
20514,1962,SENT,0,1
20515,1962,NOVL,1,1
20518,1962,PARG,0,1
20523,1962,PARG,0,0
20526,1962,NOVL,0,0
20535,1963,NOVL,0,0
20540,1963,PARG,0,0
20542,1963,SENT,0,1
20548,1963,SENT,0,1
20549,1963,PARG,0,1
20551,1963,NOVL,1,1
20552,1963,PARG,0,1
20553,1963,PARG,0,1
20555,1963,NOVL,1,1
20557,1963,SENT,0,1
20566,1963,NOVL,1,1
20569,1964,PARG,0,1
20576,1964,SENT,0,1
20579,1964,NOVL,0,0
20585,1964,PARG,0,1
20587,1964,NOVL,1,0
20596,1964,SENT,0,1
20597,1964,PARG,0,1
20600,1964,SENT,0,1
20607,1964,NOVL,0,0
20610,1964,PARG,0,1
20615,1964,NOVL,1,1
